CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.   ,DEC.  ,MAG  ,S.B.,MAX SZ,MIN SZ,STAR #,BRIGHTEST STAR,CLASS      ,Distance
AND,PN,7662,Blue Snowball,23 25.9,+42 32,8.6,5.4,0.28,0.23,n/a,14.0,4(3)       ,2000ly
AQL,PN,6781,GHOST OF THE MOON,19 18.5,+06 32,11.8,12.9,1.90,1.82,n/a,16.9,3b(3)      ,2500ly
AQL,PN,6804,SNOWBALL NEBULA,19 31.6,+09 14,12.4,12.0,1.05,0.83,n/a,14.3,4(2)       ,4200ly
AQR,PN,7009,SATURN NEBULA,21 04.2,-11 22,8.3,6.2,0.47,0.38,n/a,12.9,4(6)       ,4000ly
AQR,PN,7293,The Helix Nebula/The Sunflower Nebula,22 29.6,-20 50,6.3,11.8,16.00,12.00,n/a,13.5,4(3)       ,700ly
AUR,PN,IC2149,PK166+10.1       ,05 56.4,+46 06,10.0,5.5,0.20,0.10,n/a,11.3,3b(2)      ,3600ly
CAM,PN,1501,OYSTER NEBULA,04 07.0,+60 55,12.0,11.4,0.93,0.80,n/a,14.4,3,4900ly
CAM,PN,IC3568,THEORITICIAN'S NEBULA,12 33.1,+82 34,10.6,7.7,0.30,0.30,n/a,11.4,2+2a,9000ly
CEP,PN,40,Bow Tie Nebula,00 13.0,+72 31,10.7,10.0,1.00,0.67,n/a,11.5,3b(3)      ,3700ly
CET,PN,246,SKULL NEBULA/The Soap Bubble Nebula,00 47.1,-11 52,8.5,11.1,4.00,3.50,n/a,10.9,3b         ,2100ly
CRV,PN,4361,ESO 573-PN19      ,12 24.5,-18 47,10.9,11.3,1.33,1.33,n/a,13.2,3a(2)      ,2500ly
CYG,PN,6826,Blinking Planetary,19 44.8,+50 32,8.8,6.7,0.45,0.40,n/a,10.7,3a(2)      ,3250ly
CYG,PN,7008,COAT BUTTON NEBULA (Fetus Nebula),21 00.5,+54 33,12.0,12.3,1.43,1.15,n/a,13.9,3,2800ly
CYG,PN,7026,CHEESEBURGER NEBULA,21 06.3,+47 51,12.0,8.7,0.42,0.15,n/a,14.0,3a         ,7110LY
CYG,PN,7027,PINK PILLOW NEBULA/MAGIC CARPET NEB.,21 07.0,+42 14,9.6,6.2,0.30,0.18,n/a,16.0,3a         ,3000LY
DEL,PN,6891,PK54-12.1        ,20 15.1,+12 42,10.5,6.4,0.26,0.12,n/a,12.3,2a(2b)     ,7200LY
DEL,PN,6905,BLUE FLASH NEBULA,20 22.4,+20 06,12.0,10.9,0.73,0.63,n/a,14.0,3(3)       ,4700LY
DRA,PN,6543,CATSEYE NEBULA,17 58.6,+66 38,8.3,5.5,0.37,0.27,n/a,11.3,3a(2)      ,3270LY
ERI,PN,1535,"CLEOPATRA'S EYE, THE ESKIMO'S WIFE",04 14.3,-12 44,10.4,7.6,0.33,0.28,n/a,12.1,4(2c)      ,7000ly
FOR,PN,1360,COMET PLANETARY,03 33.2,-25 52,9.4,12.7,6.00,4.50,n/a,11.3,3,1700ly
GEM,PN,2371/2372,"THE ANT NEB.,DOUBLE BUBBLE NEB.,PEANUT NEB.",07 25.6,+29 29,13.0,12.9,1.23,0.90,n/a,14.8,3a+6       ,4400ly
GEM,PN,2392,PK197+17.1/Clown face Nebula/Eskimo Nebula,07 29.2,+20 55,8.6,7.7,0.78,0.72,n/a,10.6,3b(3b)     ,3000ly
HER,PN,IC4593,WHITE-EYED PEA NEBULA,16 11.7,+12 04,11.0,7.1,0.21,0.17,n/a,11.2,2(2)       ,3400ly
HER,PN,6210,TURTLE NEBULA,16 44.5,+23 48,9.7,6.6,0.33,0.22,n/a,12.5,2(3b)      ,5650ly
HYA,PN,2610,PK239+13.1       ,08 33.4,-16 09,13.0,12.3,0.83,0.78,n/a,15.9,4(2)       ,7220ly
HYA,PN,3242,THE GHOST OF JUPITER/The CBS Eye,10 24.8,-18 39,8.6,7.3,0.67,0.58,n/a,12.3,4(3b)      ,3566ly
LEP,PN,IC418,"SPIROGRAPH NEBULA, RASPBERRY NEBULA",05 27.5,-12 42,10.7,7.0,0.23,0.18,n/a,10.2,4,3600ly
LYR,PN,6720,M57 RING NEBULA,18 53.6,+33 02,9.4,9.6,1.43,1.03,n/a,15.8,4(3)       ,2600ly
OPH,PN,6309,"PK9+14.1/The Box Nebula, THE SHOEPRINT NEB. ",17 14.1,-12 55,11.6,8.2,0.33,0.17,n/a,16.3,3b(6)      ,11kly
OPH,PN,6369,LITTLE GHOST NEBULA,17 29.3,-23 46,11.0,9.2,0.50,0.48,n/a,15.1,4(2)       ,3500ly
OPH,PN,6572,"EMERALD EYE PLANETARY, BLUE RACQUETBALL",18 12.1,+06 51,8.0,4.5,0.25,0.20,n/a,12.0,2a         ,9000ly
ORI,PN,2022,KISSING CRESCENTS NEBULA,05 42.1,+09 05,11.6,9.6,0.45,0.45,n/a,14.9,4+2,10.4kly
PER,PN,650/651,M76 LITTLE DUMBBELL            ,01 42.3,+51 35,11.0,12.5,2.70,1.78,n/a,17.6,3(6)       ,2100ly
PUP,PN,2438,PK231+4.2   (in M46)     ,07 41.8,-14 44,11.0,10.9,1.08,1.08,n/a,17.5,4(2)       ,3200ly
PUP,PN,2440,ALBINO BUTTERFLY NEBULA,07 41.9,-18 13,11.5,9.9,0.90,0.33,n/a,17.5,5(3)       ,5700ly
PUP,PN,2452,PK243-1.1   (in same field as 2453)     ,07 47.4,-27 20,11.9,9.9,0.50,0.40,n/a,19.6,4(3)       ,12kly
SCO,PN,6302,BUG NEBULA/BUTTERFLY NEB.,17 13.7,-37 06,12.8,12.0,1.20,0.50,n/a,16.6,6,3800ly
SGR,PN,6445,BOX NEBULA,17 49.3,-20 01,13.0,11.4,0.58,0.50,n/a,19.0,3b(3)      ,3300ly
SGR,PN,6563,THE SOUTHERN RING NEBULA,18 12.0,-33 52,13.0,12.2,0.90,0.68,n/a,18.0,3a         ,9500ly
SGR,PN,6629,PK9-5.1;H II 204,18 25.7,-23 12,10.5,7.2,0.27,0.23,n/a,12.9,2a         ,5900ly
SGR,PN,IC4776,PK2-13.1         ,18 45.8,-33 21,12.5,7.5,0.13,0.10,n/a,16.0,2a         ,20.5kly
SGR,PN,6818,LITTLE GEM NEBULA,19 44.0,-14 09,10.0,7.1,0.37,0.25,n/a,15.0,4,7700ly
TAU,PN,1514,The PANSY OR CRYSTAL BALL NEBULA,04 09.3,+30 47,10.8,11.7,2.00,1.50,n/a,9.5,3(2)       ,600ly
UMA,PN,3587,M97 OWL NEBULA,11 14.8,+55 01,11.0,13.4,3.40,3.27,n/a,14.0,3a         ,2024ly
VUL,PN,6853,M27 DUMBBELL NEBULA,19 59.6,+22 43,7.3,11.2,8.00,5.67,n/a,14.1,3(2)       ,1360ly
